switch_id,timestamp,power_consumption
ac_01,2025-04-18 01:06:21,332.56
ac_02,2025-04-18 01:06:21,250.01
ac_03,2025-04-18 01:06:21,318.62
ac_04,2025-04-18 01:06:21,0.0
mw_01,2025-04-18 01:06:21,0.0
rf_01,2025-04-18 01:06:21,74.33
dw_01,2025-04-18 01:06:21,0.0
sp_01,2025-04-18 01:06:21,0.0
sp_02,2025-04-18 01:06:21,0.0
sp_03,2025-04-18 01:06:21,0.0
sp_04,2025-04-18 01:06:21,0.0
sp_05,2025-04-18 01:06:21,0.0
sp_06,2025-04-18 01:06:21,0.0
sp_07,2025-04-18 01:06:21,0.0
wm_01,2025-04-18 01:06:21,0.0
tv_01,2025-04-18 01:06:21,0.0
B_01,2025-04-18 01:06:21,0.0
B_02,2025-04-18 01:06:21,0.0
B_03,2025-04-18 01:06:21,33.73
B_04,2025-04-18 01:06:21,52.87
B_05,2025-04-18 01:06:21,59.56
B_06,2025-04-18 01:06:21,24.44
B_07,2025-04-18 01:06:21,63.85
B_08,2025-04-18 01:06:21,0.0
B_09,2025-04-18 01:06:21,0.0
B_10,2025-04-18 01:06:21,0.0
ac_01,2025-04-18 01:36:21,0.0
ac_02,2025-04-18 01:36:21,306.28
ac_03,2025-04-18 01:36:21,419.85
ac_04,2025-04-18 01:36:21,0.0
mw_01,2025-04-18 01:36:21,0.0
rf_01,2025-04-18 01:36:21,76.11
dw_01,2025-04-18 01:36:21,0.0
sp_01,2025-04-18 01:36:21,0.0
sp_02,2025-04-18 01:36:21,254.64
sp_03,2025-04-18 01:36:21,0.0
sp_04,2025-04-18 01:36:21,0.0
sp_05,2025-04-18 01:36:21,0.0
sp_06,2025-04-18 01:36:21,0.0
sp_07,2025-04-18 01:36:21,0.0
wm_01,2025-04-18 01:36:21,0.0
tv_01,2025-04-18 01:36:21,0.0
B_01,2025-04-18 01:36:21,0.0
B_02,2025-04-18 01:36:21,0.0
B_03,2025-04-18 01:36:21,33.59
B_04,2025-04-18 01:36:21,33.53
B_05,2025-04-18 01:36:21,71.1
B_06,2025-04-18 01:36:21,26.43
B_07,2025-04-18 01:36:21,64.64
B_08,2025-04-18 01:36:21,0.0
B_09,2025-04-18 01:36:21,0.0
B_10,2025-04-18 01:36:21,0.0
ac_01,2025-04-18 02:06:21,0.0
ac_02,2025-04-18 02:06:21,320.7
ac_03,2025-04-18 02:06:21,364.45
ac_04,2025-04-18 02:06:21,0.0
mw_01,2025-04-18 02:06:21,0.0
rf_01,2025-04-18 02:06:21,43.07
dw_01,2025-04-18 02:06:21,0.0
sp_01,2025-04-18 02:06:21,212.47
sp_02,2025-04-18 02:06:21,0.0
sp_03,2025-04-18 02:06:21,0.0
sp_04,2025-04-18 02:06:21,0.0
sp_05,2025-04-18 02:06:21,0.0
sp_06,2025-04-18 02:06:21,0.0
sp_07,2025-04-18 02:06:21,0.0
wm_01,2025-04-18 02:06:21,0.0
tv_01,2025-04-18 02:06:21,0.0
B_01,2025-04-18 02:06:21,0.0
B_02,2025-04-18 02:06:21,0.0
B_03,2025-04-18 02:06:21,44.24
B_04,2025-04-18 02:06:21,29.39
B_05,2025-04-18 02:06:21,20.02
B_06,2025-04-18 02:06:21,62.12
B_07,2025-04-18 02:06:21,51.89
B_08,2025-04-18 02:06:21,0.0
B_09,2025-04-18 02:06:21,0.0
